,Product Name ,Product Cost,Link,Product_Img_Link,HighLight,Description,Specification,feedback ,seller
0,DOVE Men+Care Fresh & Clean 2in1 Shampoo+Conditioner  (340 ml),₹337,https://www.flipkart.com/dove-men-care-fresh-clean-2in1-shampoo-conditioner/p/itma0845a36a9bc4?pid=SMPGNP7SWTMHPMUZ&lid=LSTSMPGNP7SWTMHPMUZIYTFWZ&marketplace=FLIPKART&q=shampoo+and+conditioner&store=g9b%2Flcf%2Fqqm&otracker=search&fm=organic&iid=en_6so881l4oRYKhvXcafEzDeAtLxbNhwhKUCyJpk%2Fo4WeS4Qv6TMwtUx1kLDNG6jyxFmq2Axfq5x1howMxE8dqUw%3D%3D&ppt=None&ppn=None&ssid=k1e4nfh44g0000001687547468355&qH=1148f36cce7b3f9c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/x/h/p/-original-imagnwuqehpszbzy.jpeg?q=70,"Scalp Cleansing Shampoo Ideal For: Men Suitable For: All Hair Types Composition: Water, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Dimethiconol and Trideceth-10 and TEA-Dodecylbenzenesulfonate, Sodium Chloride, Perfume, Carbomer, Sodium Hydroxide, Guar Hydroxypropyltrimonium Chloride, Disodium EDTA, Menthol, Citric Acid, Caffeine, Mentha Piperita (Peppermint) Leaf Extract, Sodium Benzoate, Limonene, Linalool",No Description,"Applied For	Scalp Cleansing
Hair Type	All Hair Types
Composition	Water, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Dimethiconol and Trideceth-10 and TEA-Dodecylbenzenesulfonate, Sodium Chloride, Perfume, Carbomer, Sodium Hydroxide, Guar Hydroxypropyltrimonium Chloride, Disodium EDTA, Menthol, Citric Acid, Caffeine, Mentha Piperita (Peppermint) Leaf Extract, Sodium Benzoate, Limonene, Linalool
Ideal For	Men
pack_of	1","Dove Men + Care 2-in-1 Fresh and clean Shampoo and Conditioner is perfect for cleansing and conditioning hairs in a great way. It deeply cleans the scalp and gives a fresh feel whole day long. I m so impressed by how well this shampoo improved frizziness and reduce excess oil among the hairs. It also keep the scalp hydrated. :- Ita a two in one kind of product with both shampoo and conditioner. Really Refreshing one with the quality of the product. This shampoo is perfect for me. This shampoo works very effectly on my hairs This product is very good .best product I every try . :- This dove shampoo is enriched with conditioner, too. This shampoo cleans and makes hair silky. It can be used for men and male teens. It has a mild fragrance and works perfectly well for oily and normal hair type. Overall, it's a good hair cleanser that is available at a very pocket friendly rate.",SURICYBCOMBazaar4.7
1,"mamaEarth ""Anti Hair Fall Spa Range with Onion Hair Oil + Onion Shampoo + Onion Conditioner for Hair Fall Control""  (3 Items in the set)",₹877,https://www.flipkart.com/mamaearth-anti-hair-fall-spa-range-onion-oil-shampoo-conditioner-control/p/itme698a44eec046?pid=CBKFNGWJSRQYQZUU&lid=LSTCBKFNGWJSRQYQZUUZGFZS7&marketplace=FLIPKART&q=shampoo+and+conditioner&store=g9b%2Flcf%2Fqqm&otracker=search&fm=organic&iid=en_6so881l4oRYKhvXcafEzDeAtLxbNhwhKUCyJpk%2Fo4WfWIJLkE2ophRenzKo%2BXiCcT5cDta1eJq3mHd9YfT5uTg%3D%3D&ppt=None&ppn=None&ssid=k1e4nfh44g0000001687547468355&qH=1148f36cce7b3f9c,https://rukminim1.flixcart.com/image/612/612/kuh9yfk0/combo-kit/s/i/b/anti-hair-fall-spa-range-with-onion-hair-oil-onion-shampoo-onion-original-imag7hczus7gphrz.jpeg?q=70,Pack of: 3 For: Men & Women Includes Hair Care Combo Organic Product,No Description,"Model Number	Onion-Oil-Shampoo-Conditioner
Sales Package	1 Hair Shampoo, 1 Hair Conditioner, 1 Onion Oil
Ideal For	Men & Women
Type	Hair Care Combo
Other Traits	MAKES HAIR HEALTHY: Make way for healthy hair! The natural goodness of Onion, Redensyl, Almond Oil, and Keratin boosts hair health by increasing blood supply to hair follicles., REDUCES HAIR FALL: Let Plant Keratin with 18 powerful amino acids protect your hair from damage and maintain moisture balance. Reduce hair fall the right way with the natural goodness of Onion that helps improve blood circulation to both existing and new hair follicles., MAKES HAIR SOFT AND SMOOTH: What happens when we combine the goodness of Onion, Almond Oil, Coconut, and Triglycerides? You get incredibly softer and smoother hair that detangles easily. Provide the ultimate nourishment to your hair with nature’s best as it makes hair flourish, shine, and be manageable., MADE WITH NATURAL INGREDIENTS: Dermatologically tested, this Anti Hair Fall Spa Range is free from Sulfates, Parabens, SLS, and Mineral Oils., SUITABLE FOR ALL HAIR TYPES: This Anti Hair Fall Spa Range is dermatologically tested & is suitable for all hair types.
Net Quantity	3","nice combo pack and the oil is so good because of it my hair growth boost so muchand the shampoo doesn't make your hair dry and the conditioner is so good believe me it smells too good and the nourishment to your hair is all in this :- Mamaeart shampoo hair oil conditioner very beautiful products  😍😍😍very nice nd best quality products 🙂😊so superb quality products beautiful nice :- Updated review: Its been almost 4 months and I've bought another set as this one has proved to be really good on my hair. There are no bad side effects until now and hair fall is almost zero (but ineffective for dandruff). I massage the oil into my scalp and keep it for a few hours or overnight and then shampoo only my scalp (I don't shampoo my hair). You might think that the shampoo doesn't lather enough, but that is enough for a good shampooing. I just wash the shampoo from my scalp and it ...",HonasaConsumerLtd4.6
